employee_index,employee_id,predicted_attrition,attrition_probability,actual_attrition,title,tenure_years,total_training_cost,age,division,department_type,business_unit,avg_rating,avg_wlb,state,avg_engagement,race_desc,avg_satisfaction,avg_training_days,marital_desc,start_date_key,survey_date_key,training_date_key
818,1309,0,0.3261452599861267,0,22,5.158904109589041,517.74,40,6,3,7,3.0,3.0,10,1.0,3,1.0,3.0,3,20200817.0,20220907.0,20220909.0
819,1310,0,0.2523214785744547,0,22,2.5315068493150683,350.59,35,9,3,2,3.0,3.0,10,3.0,0,4.0,4.0,2,20230403.0,20230424.0,20221016.0
820,1311,0,0.22758075089137247,0,22,2.3863013698630136,546.94,36,4,3,3,3.0,3.0,10,5.0,0,2.0,1.0,2,20230526.0,20230309.0,20221017.0
821,1312,0,0.34370051381860706,0,22,4.512328767123288,514.37,24,10,3,8,3.0,2.0,10,2.0,1,5.0,4.0,3,20210410.0,20220925.0,20230429.0
822,1313,0,0.2702577877098394,0,22,2.4904109589041097,786.98,66,6,3,6,3.0,1.0,10,5.0,2,4.0,5.0,2,20230418.0,20230718.0,20221025.0
823,1314,0,0.3262224882149799,0,22,4.002739726027397,852.21,25,9,3,9,3.0,3.0,10,5.0,4,5.0,4.0,0,20211013.0,20230328.0,20230318.0
824,1315,0,0.1493965612323422,0,29,5.010958904109589,761.63,64,19,0,4,3.0,1.0,10,5.0,0,1.0,4.0,3,20201010.0,20221129.0,20230729.0
825,1316,0,0.3005340419875547,0,19,6.734246575342466,202.62,64,0,1,1,3.0,3.0,10,3.0,0,4.0,5.0,2,20190120.0,20230720.0,20230420.0
826,1317,0,0.08896652815928857,0,29,4.432876712328767,414.75,71,0,0,3,3.0,2.0,10,4.0,1,2.0,5.0,3,20210509.0,20230505.0,20220820.0
827,1318,0,0.09065029500741482,0,1,2.210958904109589,344.55,39,6,0,9,3.0,2.0,10,5.0,4,4.0,4.0,0,20230729.0,20230521.0,20221017.0
828,1319,0,0.09221882571676895,0,0,6.142465753424657,777.46,55,8,0,2,3.0,5.0,10,4.0,0,2.0,1.0,1,20190824.0,20230614.0,20230519.0
829,1320,0,0.09346859453322026,0,1,6.8054794520547945,948.71,35,23,0,9,3.0,5.0,10,5.0,4,1.0,3.0,3,20181225.0,20230112.0,20220825.0
830,1321,0,0.05925408894022288,0,0,4.383561643835616,308.77,63,14,0,8,3.0,5.0,10,1.0,1,5.0,5.0,2,20210527.0,20230430.0,20230119.0
831,1322,0,0.1356702207767551,0,0,2.695890410958904,891.25,38,5,0,8,3.0,2.0,10,1.0,2,5.0,1.0,3,20230202.0,20230117.0,20230224.0
832,1324,0,0.08135506342103958,0,0,4.227397260273973,858.72,35,9,0,3,3.0,3.0,10,5.0,2,3.0,2.0,2,20210723.0,20221116.0,20220930.0
833,1325,0,0.08364173369728074,0,0,5.912328767123288,380.24,37,4,0,8,3.0,3.0,10,1.0,1,5.0,5.0,0,20191116.0,20221217.0,20230328.0
834,1326,0,0.12440054560210012,0,31,5.602739726027397,505.4,43,10,0,6,3.0,1.0,10,5.0,4,3.0,5.0,3,20200308.0,20230304.0,20230501.0
835,1327,0,0.19007684418727813,0,31,6.750684931506849,609.01,59,4,0,9,3.0,4.0,10,5.0,4,3.0,3.0,2,20190114.0,20230323.0,20230702.0
836,1328,0,0.15277673802480635,0,31,5.624657534246575,656.38,45,5,2,4,3.0,3.0,10,1.0,0,4.0,3.0,2,20200229.0,20221107.0,20230324.0
837,1329,0,0.3456974308137397,0,27,2.884931506849315,692.63,64,6,5,5,3.0,5.0,10,3.0,1,2.0,5.0,3,20221125.0,20230523.0,20230611.0
838,1330,0,0.06846747563594743,0,0,3.0794520547945203,633.72,32,9,0,3,3.0,2.0,10,3.0,4,5.0,3.0,0,20220915.0,20220925.0,20221120.0
839,1331,0,0.06048770144407698,0,0,4.175342465753425,517.62,75,13,0,8,3.0,5.0,10,3.0,1,2.0,2.0,3,20210811.0,20230516.0,20220914.0
840,1332,0,0.17462157865742933,0,31,2.197260273972603,231.76,77,23,0,6,3.0,5.0,10,1.0,2,2.0,4.0,0,20230803.0,20230413.0,20220813.0
841,1333,0,0.15084975093381822,0,31,3.5863013698630137,605.12,44,6,2,9,3.0,5.0,10,3.0,1,4.0,2.0,0,20220314.0,20230129.0,20230301.0
842,1334,0,0.13183586028745886,0,31,5.117808219178082,297.12,68,21,2,4,3.0,1.0,10,1.0,3,3.0,1.0,3,20200901.0,20221221.0,20230401.0
843,1335,1,0.46577694957943855,0,27,3.9534246575342467,384.43,74,9,5,4,3.0,5.0,10,4.0,4,5.0,2.0,0,20211031.0,20221009.0,20230220.0
844,1336,0,0.08769172070508872,0,0,5.632876712328767,969.95,73,6,0,8,3.0,4.0,10,5.0,1,1.0,4.0,1,20200226.0,20230309.0,20221219.0
845,1337,0,0.07531887733416874,0,0,7.1808219178082195,719.7,65,9,0,9,3.0,4.0,10,3.0,4,3.0,5.0,2,20180810.0,20221101.0,20230117.0
846,1338,0,0.14525171903300158,0,31,5.038356164383561,355.83,32,18,0,0,3.0,1.0,10,1.0,3,1.0,1.0,3,20200930.0,20221020.0,20221030.0
847,1339,0,0.1514967198153949,0,31,4.536986301369863,754.47,40,23,2,1,3.0,2.0,10,1.0,2,3.0,3.0,3,20210401.0,20221202.0,20221124.0
848,1340,0,0.19741823490622007,0,31,4.567123287671233,890.39,76,10,2,2,3.0,4.0,10,5.0,4,4.0,2.0,0,20210321.0,20230528.0,20230206.0
849,1341,1,0.46928704150430056,0,28,3.9452054794520546,268.78,42,4,5,1,3.0,4.0,10,1.0,2,3.0,3.0,2,20211103.0,20230515.0,20230214.0
850,1342,0,0.0963198029186856,0,0,6.315068493150685,930.72,34,0,0,2,3.0,2.0,10,3.0,0,2.0,4.0,2,20190622.0,20221220.0,20230128.0
851,1343,0,0.07675209740891932,0,0,5.923287671232877,924.85,61,18,0,3,3.0,3.0,10,1.0,4,2.0,5.0,1,20191112.0,20220907.0,20220902.0
852,1344,0,0.09343141018130736,0,0,3.0657534246575344,284.38,42,9,0,8,3.0,5.0,10,1.0,4,4.0,5.0,2,20220920.0,20220823.0,20221101.0
853,1345,0,0.15627550246373587,0,31,2.712328767123288,395.1,45,7,0,6,3.0,4.0,10,2.0,3,4.0,1.0,2,20230127.0,20220828.0,20221130.0
854,1346,0,0.1785872465593868,0,31,4.6438356164383565,501.64,73,6,2,9,3.0,3.0,10,4.0,4,2.0,2.0,0,20210221.0,20230428.0,20230702.0
855,1347,0,0.1732806227838354,0,31,3.6136986301369864,792.72,27,9,2,4,3.0,1.0,10,4.0,2,3.0,5.0,1,20220304.0,20230228.0,20221022.0
856,1349,0,0.056692222770813545,0,0,4.2,870.01,72,16,0,2,3.0,3.0,10,1.0,4,2.0,3.0,0,20210802.0,20230421.0,20221126.0
857,1350,0,0.06682607161389166,0,0,3.6136986301369864,610.06,54,6,0,3,3.0,5.0,10,3.0,1,4.0,2.0,0,20220304.0,20230305.0,20230129.0
858,1351,0,0.053353496377552025,0,0,4.5479452054794525,278.16,23,6,0,8,3.0,5.0,10,4.0,4,1.0,2.0,0,20210328.0,20230118.0,20221220.0
859,1352,0,0.21217556908643279,0,31,7.186301369863013,218.93,44,6,0,6,3.0,1.0,10,4.0,3,2.0,4.0,0,20180808.0,20230603.0,20221101.0
860,1353,0,0.1949288696865548,0,31,5.079452054794521,179.21,74,6,2,9,3.0,5.0,10,5.0,4,1.0,5.0,2,20200915.0,20221011.0,20221216.0
861,1355,0,0.06516805923963741,0,1,4.328767123287672,534.28,76,9,0,7,3.0,3.0,10,2.0,2,2.0,5.0,2,20210616.0,20230128.0,20230313.0
862,1356,0,0.09284930625997796,0,0,2.56986301369863,301.39,35,4,0,2,3.0,1.0,10,1.0,2,1.0,3.0,1,20230320.0,20220814.0,20230406.0
863,1357,0,0.08446278603298589,0,0,7.104109589041096,231.65,46,4,0,3,3.0,3.0,10,1.0,1,4.0,3.0,0,20180907.0,20230130.0,20230526.0
864,1358,0,0.10922298830311615,0,0,6.934246575342466,994.81,22,6,0,8,3.0,5.0,10,1.0,1,2.0,2.0,1,20181108.0,20230225.0,20220810.0
865,1359,0,0.17042478782671985,0,31,6.717808219178083,729.91,21,2,0,0,3.0,1.0,10,4.0,0,5.0,4.0,1,20190126.0,20230109.0,20230214.0
866,1360,0,0.18053362076975263,0,31,4.123287671232877,538.02,57,6,2,1,3.0,1.0,10,5.0,0,2.0,2.0,0,20210830.0,20230331.0,20220920.0
867,1362,0,0.09372578698239256,0,1,5.928767123287671,196.94,36,9,0,7,3.0,5.0,10,5.0,0,2.0,4.0,3,20191110.0,20230111.0,20220829.0
868,1363,0,0.07415036691991746,0,0,2.213698630136986,285.83,41,9,0,2,3.0,2.0,10,5.0,0,2.0,2.0,0,20230728.0,20230619.0,20221215.0
869,1364,0,0.07835180568874703,0,0,6.534246575342466,818.6,46,8,0,3,3.0,4.0,10,2.0,4,2.0,4.0,0,20190403.0,20230503.0,20221228.0
870,1365,0,0.05937235907904858,0,0,6.227397260273973,610.97,37,6,0,8,3.0,2.0,10,5.0,2,1.0,1.0,3,20190724.0,20221008.0,20230410.0
871,1366,0,0.18862173491968673,0,31,3.4602739726027396,762.83,72,9,2,6,3.0,2.0,10,1.0,1,4.0,1.0,2,20220429.0,20220817.0,20221118.0
872,1367,0,0.24850916285898228,0,31,5.021917808219178,438.44,30,5,2,9,3.0,3.0,10,1.0,4,4.0,5.0,0,20201006.0,20230720.0,20220920.0
873,1368,0,0.16126140913355702,0,29,5.528767123287671,271.9,27,11,0,6,3.0,2.0,10,2.0,4,2.0,4.0,3,20200404.0,20221004.0,20221019.0
874,1369,0,0.11421525918229357,0,1,4.553424657534246,629.2,47,0,4,1,3.0,3.0,10,2.0,1,4.0,2.0,1,20210326.0,20230308.0,20230131.0
875,1370,0,0.0907572307878948,0,1,3.4054794520547946,850.28,30,9,0,7,3.0,1.0,10,1.0,1,2.0,1.0,1,20220519.0,20230719.0,20220906.0
876,1371,0,0.07443635614030852,0,0,4.1287671232876715,321.25,64,6,0,2,3.0,2.0,10,1.0,1,1.0,1.0,1,20210828.0,20230519.0,20221001.0
877,1372,0,0.09731219556858976,0,0,2.8876712328767122,475.32,31,0,0,3,3.0,4.0,10,3.0,4,1.0,1.0,2,20221124.0,20230730.0,20230603.0
878,1373,0,0.05382415100091342,0,0,3.7534246575342465,847.2,36,6,0,8,3.0,5.0,10,1.0,3,2.0,4.0,0,20220112.0,20230612.0,20220908.0
879,1374,0,0.3196941143608448,0,31,6.273972602739726,983.35,77,0,2,6,3.0,4.0,10,5.0,4,5.0,1.0,1,20190707.0,20230208.0,20221008.0
880,1375,0,0.12193382009196382,0,29,4.252054794520548,880.9,22,20,0,6,3.0,2.0,10,1.0,0,3.0,3.0,0,20210714.0,20220928.0,20230625.0
881,1376,0,0.1322518368234321,0,1,5.865753424657535,795.72,61,6,4,1,3.0,5.0,10,4.0,3,3.0,3.0,2,20191203.0,20230612.0,20230802.0
882,1377,0,0.0952217131757387,0,1,4.616438356164384,909.56,53,9,0,7,3.0,4.0,10,5.0,4,5.0,2.0,0,20210303.0,20230305.0,20230620.0
883,1378,0,0.08855168002126687,0,0,3.336986301369863,145.7,47,7,0,2,3.0,5.0,10,1.0,4,4.0,5.0,1,20220613.0,20230203.0,20230128.0
884,1379,0,0.08635233310589067,0,0,2.723287671232877,397.48,39,11,0,3,3.0,5.0,10,5.0,4,2.0,1.0,3,20230123.0,20230228.0,20230306.0
885,1380,0,0.05660406522895834,0,0,5.104109589041096,326.7,67,6,0,8,3.0,2.0,10,1.0,2,1.0,3.0,2,20200906.0,20221227.0,20230526.0
886,1381,0,0.1318169595580438,0,31,2.9917808219178084,718.16,22,0,2,6,3.0,1.0,10,2.0,3,2.0,4.0,2,20221017.0,20230710.0,20220920.0
887,1382,0,0.14402773469255656,0,29,6.3561643835616435,162.46,51,6,0,8,3.0,1.0,10,2.0,4,1.0,5.0,3,20190607.0,20221130.0,20230221.0
888,1383,0,0.1641026106132645,0,29,3.7095890410958905,924.64,28,9,0,0,3.0,5.0,10,4.0,2,1.0,3.0,0,20220128.0,20220902.0,20230115.0
889,1384,0,0.09870663452916299,0,1,5.287671232876712,628.48,64,6,0,1,3.0,4.0,10,2.0,3,3.0,4.0,2,20200701.0,20230505.0,20221004.0
890,1385,0,0.04368282868077594,0,1,5.375342465753425,678.07,54,6,0,7,3.0,3.0,10,3.0,2,1.0,1.0,0,20200530.0,20220911.0,20230627.0
891,1386,0,0.1471633332585874,0,0,6.027397260273973,106.91,43,9,0,2,3.0,5.0,10,2.0,4,4.0,1.0,1,20191005.0,20230318.0,20230629.0
892,1387,0,0.09307934831792285,0,0,3.936986301369863,195.95,70,9,0,3,3.0,2.0,10,5.0,2,1.0,1.0,0,20211106.0,20230329.0,20221220.0
893,1388,0,0.0921082790110478,0,0,6.435616438356164,918.34,49,6,0,8,3.0,4.0,10,5.0,1,2.0,1.0,2,20190509.0,20230715.0,20230418.0
894,1389,1,0.5004249979803093,0,23,5.964383561643835,425.34,57,12,3,4,3.0,3.0,10,4.0,2,4.0,3.0,3,20191028.0,20230225.0,20230116.0
895,1390,0,0.3676390795770493,0,22,6.758904109589041,512.53,64,9,3,7,3.0,4.0,10,2.0,0,3.0,3.0,1,20190111.0,20230123.0,20230303.0
896,1391,0,0.20034227249685127,0,22,5.534246575342466,146.48,79,22,3,3,3.0,1.0,10,4.0,3,1.0,3.0,2,20200402.0,20220811.0,20230205.0
897,1392,0,0.3743111924108025,0,22,6.3561643835616435,578.62,64,6,3,5,3.0,3.0,10,4.0,2,4.0,3.0,3,20190607.0,20220919.0,20230420.0
898,1393,1,0.44854255178442215,0,22,3.893150684931507,255.61,74,9,3,7,3.0,4.0,10,4.0,3,4.0,3.0,2,20211122.0,20230617.0,20230402.0
899,1394,1,0.4478156950225726,0,22,6.736986301369863,370.26,76,6,3,4,3.0,2.0,10,1.0,1,2.0,5.0,1,20190119.0,20230707.0,20230213.0
900,1395,1,0.6431236186531356,1,23,3.824657534246575,302.97,61,9,3,7,3.0,2.0,10,4.0,1,1.0,2.0,0,20211217.0,20230531.0,20221228.0
901,1396,0,0.2962363311444082,0,22,6.449315068493151,632.28,63,10,3,7,3.0,3.0,10,2.0,2,1.0,3.0,1,20190504.0,20230707.0,20220913.0
902,1397,0,0.3891098797607846,0,22,6.8054794520547945,669.41,37,9,3,3,3.0,3.0,10,3.0,3,2.0,2.0,2,20181225.0,20230331.0,20230301.0
903,1398,0,0.325575388378414,0,22,4.778082191780822,191.99,49,19,3,6,3.0,1.0,10,1.0,4,1.0,3.0,2,20210103.0,20230407.0,20230104.0
904,1399,0,0.3082146381099797,0,22,2.3315068493150686,695.11,46,9,3,0,3.0,4.0,10,1.0,3,4.0,2.0,3,20230615.0,20230307.0,20230502.0
905,1400,1,0.5508788846981093,0,23,7.1287671232876715,634.92,63,6,3,4,3.0,3.0,10,2.0,4,3.0,2.0,0,20180829.0,20230517.0,20220806.0
906,1401,0,0.3637977123435544,0,22,6.778082191780822,873.98,52,19,3,5,3.0,3.0,10,2.0,4,5.0,5.0,2,20190104.0,20221104.0,20230703.0
907,1402,0,0.3688005057193567,0,22,4.093150684931507,602.33,33,11,3,3,3.0,4.0,10,2.0,4,4.0,3.0,0,20210910.0,20230713.0,20221014.0
908,1403,1,0.4540707294438311,0,22,4.2684931506849315,807.02,77,6,3,7,3.0,2.0,10,1.0,4,3.0,3.0,3,20210708.0,20221225.0,20230608.0
909,1404,1,0.6828872314122931,1,23,6.953424657534247,411.94,40,8,3,0,3.0,2.0,10,1.0,2,2.0,4.0,2,20181101.0,20230218.0,20221002.0
910,1405,1,0.44866987415266235,0,23,6.852054794520548,537.73,41,6,3,5,3.0,3.0,10,3.0,3,3.0,4.0,2,20181208.0,20230429.0,20220915.0
911,1406,0,0.41796535820023195,0,23,2.96986301369863,930.1,40,9,3,6,3.0,5.0,10,4.0,0,1.0,5.0,2,20221025.0,20230515.0,20230503.0
912,1407,0,0.24877215460310328,0,22,2.5287671232876714,249.66,40,11,3,8,3.0,1.0,10,3.0,2,3.0,3.0,1,20230404.0,20230216.0,20221123.0
913,1408,0,0.41064601159881176,0,22,4.578082191780822,691.82,41,6,3,5,3.0,3.0,10,3.0,3,3.0,5.0,2,20210317.0,20230607.0,20221224.0
914,1409,1,0.4984823736272923,1,22,6.597260273972603,938.59,38,9,3,3,3.0,1.0,10,2.0,3,2.0,4.0,3,20190311.0,20230517.0,20220823.0
915,1410,0,0.28457297301095186,0,22,3.632876712328767,746.8,77,23,3,7,3.0,4.0,10,2.0,4,2.0,1.0,3,20220225.0,20230402.0,20221125.0
916,1411,0,0.28644781578515627,0,22,6.287671232876712,690.75,39,0,3,2,3.0,5.0,10,5.0,2,4.0,1.0,1,20190702.0,20230625.0,20221214.0
917,1412,0,0.39806486733155305,0,22,6.32054794520548,544.19,37,6,3,3,3.0,5.0,10,4.0,4,3.0,4.0,3,20190620.0,20230616.0,20220824.0
918,1413,0,0.37068021679570057,0,22,6.049315068493151,918.34,76,8,3,8,3.0,2.0,10,4.0,1,3.0,5.0,3,20190927.0,20221031.0,20230217.0
919,1414,0,0.35430334305026046,0,22,2.9123287671232876,997.2,56,0,3,0,3.0,4.0,10,1.0,0,4.0,3.0,1,20221115.0,20220813.0,20230121.0
920,1415,1,0.4778955568638023,0,22,5.145205479452055,633.96,43,6,3,1,3.0,1.0,10,2.0,0,2.0,3.0,0,20200822.0,20220916.0,20221228.0
921,1416,0,0.4186386001688491,0,22,5.515068493150685,638.69,67,6,3,2,3.0,3.0,10,5.0,0,4.0,2.0,3,20200409.0,20230511.0,20221027.0
922,1417,0,0.36952193521234283,0,22,4.542465753424658,643.82,72,0,3,3,3.0,2.0,10,3.0,3,5.0,1.0,2,20210330.0,20221231.0,20230105.0
923,1418,0,0.23604642352260743,0,22,7.052054794520548,840.76,18,23,3,4,3.0,3.0,10,2.0,3,1.0,1.0,1,20180926.0,20221125.0,20230624.0
924,1419,0,0.31692753376996685,0,22,2.3972602739726026,108.04,39,6,3,5,3.0,1.0,10,4.0,3,2.0,1.0,0,20230522.0,20230211.0,20230413.0
925,1420,0,0.275835992743104,0,22,4.361643835616438,889.57,71,14,3,6,3.0,4.0,10,1.0,4,2.0,5.0,0,20210604.0,20230612.0,20230216.0
926,1421,0,0.2839945990692636,0,22,5.980821917808219,835.97,71,9,3,7,3.0,5.0,10,3.0,3,5.0,5.0,1,20191022.0,20220903.0,20221208.0
927,1423,0,0.4064660206183024,0,22,3.304109589041096,255.55,30,0,3,9,3.0,5.0,10,2.0,4,5.0,3.0,2,20220625.0,20230323.0,20230315.0
928,1425,0,0.4414217193389492,0,22,6.197260273972603,850.15,77,6,3,1,3.0,1.0,10,2.0,1,3.0,1.0,2,20190804.0,20220906.0,20230313.0
929,1426,1,0.5731741615137281,1,22,3.6027397260273974,938.04,22,9,3,2,3.0,5.0,10,4.0,2,5.0,3.0,3,20220308.0,20230711.0,20221202.0
930,1427,1,0.5029425201715443,0,23,6.6438356164383565,684.24,66,4,3,1,3.0,3.0,10,1.0,0,2.0,1.0,0,20190222.0,20230209.0,20230425.0
931,1428,0,0.36097261253131746,0,23,2.8493150684931505,956.11,52,5,3,7,3.0,2.0,10,3.0,4,5.0,5.0,0,20221208.0,20230604.0,20220830.0
932,1429,1,0.686213358917813,1,23,5.895890410958904,441.43,75,6,3,2,3.0,3.0,10,1.0,2,4.0,4.0,0,20191122.0,20230323.0,20221126.0
933,1430,1,0.6283669754475144,1,23,2.665753424657534,193.99,64,24,3,3,3.0,2.0,10,2.0,0,2.0,4.0,2,20230213.0,20220915.0,20220826.0
934,1431,0,0.42779851627896753,0,23,6.586301369863014,790.72,68,6,3,8,3.0,1.0,10,2.0,1,1.0,3.0,3,20190315.0,20221028.0,20221015.0
935,1432,0,0.44287332803825186,0,23,6.243835616438356,894.75,28,14,3,6,3.0,4.0,10,4.0,4,3.0,4.0,1,20190718.0,20221013.0,20220806.0
936,1433,0,0.3101229482310285,0,22,4.515068493150685,863.73,26,9,3,7,3.0,3.0,10,5.0,4,1.0,4.0,3,20210409.0,20220806.0,20220918.0
937,1434,0,0.27464823468357386,0,22,6.791780821917809,746.99,32,19,3,2,3.0,3.0,10,1.0,4,2.0,2.0,0,20181230.0,20221021.0,20230427.0
938,1435,0,0.3531960413666948,0,22,4.208219178082191,360.38,23,6,3,3,3.0,3.0,10,4.0,2,2.0,4.0,2,20210730.0,20230323.0,20220921.0
939,1436,0,0.408247846770088,0,22,2.9616438356164383,298.3,33,6,3,8,3.0,2.0,10,1.0,2,2.0,1.0,1,20221028.0,20230709.0,20220826.0
940,1437,0,0.3320118665303456,0,22,4.958904109589041,537.12,24,14,3,6,3.0,5.0,10,4.0,0,5.0,3.0,2,20201029.0,20230106.0,20221228.0
941,1438,0,0.3528929828390559,0,22,2.578082191780822,996.18,46,6,3,9,3.0,1.0,10,1.0,0,4.0,2.0,1,20230317.0,20230121.0,20230512.0
942,1439,0,0.377902910813457,0,22,3.2356164383561645,764.43,34,9,3,4,3.0,3.0,10,3.0,0,1.0,4.0,3,20220720.0,20221129.0,20230620.0
943,1440,0,0.1716219182398262,0,22,2.1945205479452055,490.33,26,6,3,5,3.0,4.0,10,3.0,2,1.0,5.0,2,20230804.0,20221102.0,20221113.0
944,1441,0,0.3856564339904137,0,22,3.882191780821918,758.41,39,6,3,0,3.0,5.0,10,1.0,2,1.0,4.0,1,20211126.0,20230407.0,20221023.0
945,1442,0,0.3341460123453544,0,22,7.049315068493151,367.56,25,16,3,1,3.0,2.0,10,2.0,1,4.0,3.0,2,20180927.0,20230111.0,20230221.0
946,1443,0,0.3832941209629876,0,22,6.197260273972603,582.49,59,6,3,7,3.0,3.0,10,5.0,4,2.0,5.0,0,20190804.0,20230612.0,20230503.0
947,1444,0,0.33330692649623045,0,22,6.032876712328767,561.14,47,9,3,2,3.0,3.0,10,5.0,4,5.0,2.0,0,20191003.0,20221221.0,20230130.0
948,1448,0,0.3155356412001269,0,22,5.0849315068493155,151.43,44,9,3,9,3.0,3.0,10,1.0,3,1.0,5.0,2,20200913.0,20221023.0,20220806.0
949,1449,0,0.3945909784867467,0,23,2.9123287671232876,675.71,57,11,3,5,3.0,2.0,10,4.0,3,2.0,5.0,0,20221115.0,20220811.0,20221009.0
950,1450,1,0.45917774707755343,1,23,5.684931506849315,436.63,62,6,3,6,3.0,2.0,10,5.0,4,1.0,5.0,2,20200207.0,20230422.0,20230623.0
951,1451,0,0.23443458432589126,0,23,2.786301369863014,387.11,78,19,3,7,3.0,4.0,10,4.0,2,3.0,2.0,3,20221231.0,20221227.0,20221025.0
952,1452,1,0.5938734645001706,0,23,6.556164383561644,320.38,66,6,3,8,3.0,5.0,10,4.0,4,4.0,4.0,2,20190326.0,20220814.0,20220904.0
953,1453,0,0.2877898102206059,0,23,2.5643835616438357,294.55,33,4,3,9,3.0,1.0,10,1.0,1,5.0,2.0,2,20230322.0,20220912.0,20230405.0
954,1454,0,0.36584753654687063,1,23,2.808219178082192,832.86,45,9,3,9,3.0,1.0,10,2.0,2,2.0,1.0,1,20221223.0,20230728.0,20221214.0
955,1455,0,0.27571863299887817,0,22,5.8,223.34,24,11,3,5,3.0,4.0,10,2.0,3,2.0,5.0,3,20191227.0,20230704.0,20230515.0
956,1456,0,0.34109220019481773,0,22,6.306849315068493,456.95,63,4,3,6,3.0,5.0,10,2.0,2,1.0,3.0,1,20190625.0,20220831.0,20220930.0
957,1457,0,0.3939066636752606,0,22,6.8931506849315065,988.47,41,6,3,7,3.0,1.0,10,2.0,3,1.0,5.0,1,20181123.0,20230702.0,20230511.0
958,1458,0,0.26978520658454963,0,22,4.739726027397261,429.49,27,23,3,8,3.0,4.0,10,2.0,2,2.0,1.0,2,20210117.0,20230206.0,20230522.0
959,1459,0,0.2672758628638379,0,22,4.098630136986301,798.97,75,4,3,9,3.0,5.0,10,5.0,1,2.0,3.0,2,20210908.0,20220910.0,20221018.0
960,1460,0,0.3944547178833568,0,22,4.635616438356164,864.22,66,23,3,0,3.0,1.0,10,2.0,3,3.0,2.0,0,20210224.0,20230223.0,20230306.0
961,1461,0,0.42308512695731,0,22,6.50958904109589,302.52,18,14,3,1,3.0,2.0,10,1.0,0,1.0,1.0,3,20190412.0,20230409.0,20230601.0
962,1462,0,0.24080714993852811,0,22,2.254794520547945,152.66,63,7,3,2,3.0,5.0,10,4.0,3,5.0,4.0,3,20230713.0,20220831.0,20230202.0
963,1463,0,0.26677006504204875,0,22,5.024657534246575,399.05,45,6,3,3,3.0,5.0,10,5.0,2,4.0,2.0,0,20201005.0,20230313.0,20230414.0
964,1464,0,0.38759392211908505,0,22,6.715068493150685,791.74,62,11,3,4,3.0,1.0,10,2.0,0,5.0,2.0,1,20190127.0,20230704.0,20230625.0
965,1465,0,0.2739673482968981,0,22,4.824657534246575,770.23,62,20,3,5,3.0,3.0,10,1.0,3,1.0,4.0,2,20201217.0,20230602.0,20221206.0
966,1466,0,0.35309785592856224,0,22,4.6136986301369864,746.05,32,1,3,6,3.0,5.0,10,1.0,4,4.0,3.0,3,20210304.0,20221205.0,20221216.0
967,1467,0,0.2862149997169697,0,22,2.5424657534246577,177.66,34,13,3,7,3.0,2.0,10,3.0,1,4.0,2.0,1,20230330.0,20220813.0,20230113.0
968,1468,0,0.3530584043421873,0,22,6.8,429.38,53,6,3,8,3.0,3.0,10,3.0,2,1.0,5.0,0,20181227.0,20230421.0,20230410.0
969,1469,0,0.36663948465239493,0,22,4.065753424657534,867.59,45,6,3,9,3.0,4.0,10,4.0,0,2.0,3.0,1,20210920.0,20230223.0,20220825.0
970,1470,0,0.25608986900469577,0,22,2.6794520547945204,502.65,28,11,3,0,3.0,1.0,10,1.0,0,4.0,5.0,1,20230208.0,20230321.0,20230417.0
971,1471,1,0.6439407528126796,1,23,5.997260273972603,488.68,59,6,3,1,3.0,2.0,10,3.0,4,4.0,3.0,0,20191016.0,20221223.0,20230306.0
972,1472,0,0.42462322983169515,0,23,4.120547945205479,416.76,49,14,3,7,3.0,1.0,10,2.0,3,4.0,3.0,2,20210831.0,20220902.0,20230411.0
973,1473,0,0.2642717480323485,0,23,5.052054794520548,336.08,78,6,3,2,3.0,1.0,10,5.0,1,2.0,4.0,0,20200925.0,20221211.0,20230211.0
974,1474,0,0.3131077717388351,1,23,2.6986301369863015,798.37,81,4,3,3,3.0,3.0,10,2.0,2,1.0,1.0,1,20230201.0,20220922.0,20230219.0
975,1475,0,0.35430135977389526,0,23,2.73972602739726,499.48,30,23,3,8,3.0,3.0,10,2.0,3,3.0,3.0,1,20230117.0,20230725.0,20221104.0
976,1476,1,0.4909156073756097,1,23,5.854794520547945,615.32,57,6,3,6,3.0,1.0,10,1.0,3,4.0,2.0,0,20191207.0,20221221.0,20230308.0
977,1477,0,0.3672740826259573,0,22,6.898630136986301,410.36,55,23,3,1,3.0,3.0,10,5.0,0,5.0,5.0,1,20181121.0,20230224.0,20230312.0
978,1478,0,0.33536594495913247,0,22,4.66027397260274,453.86,68,6,3,7,3.0,3.0,10,1.0,3,1.0,5.0,0,20210215.0,20221122.0,20230803.0
979,1479,0,0.3871162718668977,0,22,4.76986301369863,975.27,70,14,3,2,3.0,2.0,10,3.0,4,4.0,1.0,1,20210106.0,20220823.0,20230123.0
980,1480,0,0.26135927250172936,0,22,6.739726027397261,946.81,25,18,3,3,3.0,4.0,10,5.0,1,1.0,2.0,1,20190118.0,20230216.0,20230418.0
981,1481,0,0.2614239914199148,0,22,2.5835616438356164,142.57,23,6,3,8,3.0,3.0,10,3.0,0,5.0,5.0,2,20230315.0,20230724.0,20230516.0
