employee_id,training_program_name,training_date,training_type,training_outcome,training_duration_days,training_cost,training_date_key
1114,Communication Skills,2023-02-25,Internal,Incomplete,1,912.27,20230225.0
1115,Customer Service,2023-05-19,Internal,Incomplete,4,881.71,20230519.0
1116,Communication Skills,2023-05-16,Internal,Incomplete,4,557.68,20230516.0
1117,Communication Skills,2023-01-12,Internal,Completed,4,271.68,20230112.0
1118,Communication Skills,2022-12-16,External,Completed,2,299.68,20221216.0
1119,Communication Skills,2023-07-08,Internal,Incomplete,5,440.28,20230708.0
1120,Leadership Development,2023-03-10,Internal,Incomplete,4,553.83,20230310.0
1121,Leadership Development,2022-09-19,Internal,Failed,1,428.9,20220919.0
1122,Communication Skills,2023-01-21,Internal,Passed,3,444.4,20230121.0
1123,Project Management,2023-01-31,Internal,Completed,4,254.38,20230131.0
1124,Communication Skills,2022-11-03,Internal,Failed,1,256.21,20221103.0
1125,Communication Skills,2022-12-14,Internal,Incomplete,2,756.19,20221214.0
1126,Technical Skills,2023-07-29,Internal,Failed,4,500.45,20230729.0
1127,Communication Skills,2022-09-04,External,Incomplete,2,500.83,20220904.0
1128,Communication Skills,2023-05-17,Internal,Incomplete,1,773.8,20230517.0
1129,Technical Skills,2022-09-11,Internal,Passed,2,768.06,20220911.0
1130,Leadership Development,2022-11-09,External,Completed,3,777.7,20221109.0
1131,Customer Service,2023-03-31,Internal,Incomplete,2,943.05,20230331.0
1132,Communication Skills,2022-09-27,Internal,Passed,4,475.91,20220927.0
1133,Customer Service,2022-08-19,External,Passed,3,107.14,20220819.0
1134,Communication Skills,2022-12-09,External,Passed,1,271.49,20221209.0
1135,Project Management,2023-03-22,Internal,Passed,2,524.23,20230322.0
1136,Customer Service,2022-12-25,External,Completed,3,535.88,20221225.0
1137,Communication Skills,2022-09-09,Internal,Passed,5,270.92,20220909.0
1138,Customer Service,2022-09-10,Internal,Failed,4,155.14,20220910.0
1139,Customer Service,2022-10-01,External,Completed,1,930.06,20221001.0
1140,Customer Service,2022-09-27,Internal,Passed,1,949.81,20220927.0
1141,Technical Skills,2023-05-17,Internal,Incomplete,1,635.31,20230517.0
1142,Leadership Development,2023-07-17,External,Completed,3,675.04,20230717.0
1143,Customer Service,2022-12-20,Internal,Failed,3,563.38,20221220.0
1144,Communication Skills,2023-01-10,External,Completed,4,750.25,20230110.0
1145,Technical Skills,2022-11-15,Internal,Incomplete,2,401.53,20221115.0
1146,Technical Skills,2023-06-28,External,Failed,3,894.88,20230628.0
1147,Leadership Development,2023-01-25,Internal,Failed,2,247.58,20230125.0
1148,Communication Skills,2022-09-01,External,Passed,3,529.0,20220901.0
1149,Leadership Development,2023-07-31,External,Failed,5,483.99,20230731.0
1150,Project Management,2023-06-03,External,Incomplete,5,797.35,20230603.0
1151,Project Management,2022-12-19,External,Passed,4,707.59,20221219.0
1152,Customer Service,2023-03-29,External,Incomplete,2,564.48,20230329.0
1153,Communication Skills,2022-12-02,Internal,Failed,4,555.35,20221202.0
1154,Customer Service,2022-08-12,Internal,Incomplete,3,338.48,20220812.0
1155,Technical Skills,2022-09-10,Internal,Failed,1,339.01,20220910.0
1156,Customer Service,2022-09-04,Internal,Incomplete,5,939.49,20220904.0
1157,Technical Skills,2022-10-11,External,Passed,1,276.47,20221011.0
1158,Customer Service,2022-09-14,External,Completed,3,154.71,20220914.0
1159,Leadership Development,2022-12-27,External,Failed,3,674.24,20221227.0
1160,Leadership Development,2022-11-07,External,Failed,2,137.96,20221107.0
1161,Technical Skills,2022-11-13,Internal,Passed,5,926.85,20221113.0
1162,Communication Skills,2022-09-02,External,Incomplete,1,846.55,20220902.0
1163,Communication Skills,2023-02-23,External,Passed,3,734.77,20230223.0
1164,Technical Skills,2023-03-01,Internal,Incomplete,3,315.09,20230301.0
1165,Communication Skills,2022-09-27,Internal,Passed,3,686.05,20220927.0
1166,Communication Skills,2022-08-10,External,Passed,4,942.51,20220810.0
1167,Project Management,2023-02-23,Internal,Failed,4,782.82,20230223.0
1168,Project Management,2022-09-02,Internal,Failed,1,370.64,20220902.0
1169,Technical Skills,2023-06-30,Internal,Incomplete,1,487.66,20230630.0
1170,Communication Skills,2023-08-04,External,Incomplete,1,179.85,20230804.0
1171,Project Management,2022-09-07,Internal,Completed,1,294.74,20220907.0
1172,Communication Skills,2023-03-30,External,Passed,5,202.09,20230330.0
1173,Customer Service,2023-02-09,Internal,Passed,4,901.42,20230209.0
1174,Project Management,2023-05-12,External,Incomplete,3,454.23,20230512.0
1175,Project Management,2023-01-04,Internal,Passed,3,460.39,20230104.0
1176,Leadership Development,2023-02-14,Internal,Completed,2,644.72,20230214.0
1177,Customer Service,2022-09-17,External,Passed,3,436.86,20220917.0
1178,Project Management,2022-12-21,External,Failed,1,361.52,20221221.0
1179,Technical Skills,2023-02-11,Internal,Passed,2,229.05,20230211.0
1180,Technical Skills,2022-11-17,Internal,Completed,3,787.85,20221117.0
1181,Communication Skills,2022-12-31,External,Incomplete,1,483.82,20221231.0
1182,Communication Skills,2022-10-19,External,Passed,5,623.64,20221019.0
1183,Technical Skills,2023-07-16,Internal,Incomplete,4,351.35,20230716.0
1184,Customer Service,2023-01-31,Internal,Completed,3,512.51,20230131.0
1185,Project Management,2022-09-22,Internal,Failed,5,957.9,20220922.0
1186,Communication Skills,2023-06-12,External,Failed,5,886.45,20230612.0
1187,Communication Skills,2022-10-25,Internal,Incomplete,4,443.55,20221025.0
1188,Technical Skills,2023-01-07,Internal,Passed,4,899.13,20230107.0
1189,Communication Skills,2022-09-20,External,Completed,1,202.74,20220920.0
1190,Project Management,2023-05-21,External,Failed,4,727.81,20230521.0
1191,Customer Service,2022-09-23,Internal,Completed,2,820.39,20220923.0
1192,Leadership Development,2022-10-11,External,Passed,4,111.94,20221011.0
1193,Technical Skills,2023-05-05,External,Failed,1,231.96,20230505.0
1194,Communication Skills,2023-05-07,Internal,Completed,2,430.92,20230507.0
1196,Communication Skills,2023-02-28,Internal,Completed,5,355.3,20230228.0
1197,Technical Skills,2023-02-25,Internal,Passed,5,575.1,20230225.0
1198,Project Management,2023-06-19,Internal,Failed,1,140.82,20230619.0
1199,Leadership Development,2022-11-28,External,Passed,2,663.19,20221128.0
1200,Project Management,2023-07-29,Internal,Incomplete,2,996.77,20230729.0
1201,Communication Skills,2022-10-10,External,Passed,2,145.39,20221010.0
1202,Technical Skills,2022-12-08,Internal,Incomplete,1,344.74,20221208.0
1203,Project Management,2022-10-12,External,Incomplete,5,308.09,20221012.0
1204,Project Management,2023-07-16,External,Incomplete,1,610.96,20230716.0
1205,Communication Skills,2023-08-01,External,Failed,3,201.83,20230801.0
1206,Technical Skills,2023-07-20,Internal,Passed,5,391.85,20230720.0
1207,Communication Skills,2022-12-07,Internal,Completed,5,682.36,20221207.0
1208,Leadership Development,2022-09-20,Internal,Passed,3,492.39,20220920.0
1209,Communication Skills,2023-06-18,External,Failed,2,197.78,20230618.0
1210,Leadership Development,2023-01-09,External,Incomplete,4,485.44,20230109.0
1211,Leadership Development,2023-07-30,External,Passed,3,557.34,20230730.0
1212,Project Management,2023-05-03,Internal,Failed,5,817.92,20230503.0
1213,Project Management,2023-02-15,External,Failed,4,485.39,20230215.0
1214,Customer Service,2023-04-02,Internal,Completed,3,145.13,20230402.0
1215,Communication Skills,2022-09-13,External,Passed,4,751.88,20220913.0
1216,Leadership Development,2023-07-16,External,Incomplete,1,136.48,20230716.0
1217,Customer Service,2023-04-17,External,Completed,1,857.42,20230417.0
1218,Leadership Development,2023-01-30,Internal,Failed,3,733.16,20230130.0
1219,Communication Skills,2022-09-15,External,Failed,5,761.31,20220915.0
1220,Leadership Development,2023-06-29,External,Passed,1,920.41,20230629.0
1221,Customer Service,2022-08-25,Internal,Passed,4,167.69,20220825.0
1222,Leadership Development,2023-03-10,External,Passed,2,931.45,20230310.0
1223,Project Management,2022-08-30,External,Completed,1,474.36,20220830.0
1224,Project Management,2023-03-18,Internal,Incomplete,5,598.72,20230318.0
1225,Customer Service,2022-08-14,Internal,Completed,5,557.02,20220814.0
1226,Customer Service,2023-05-20,Internal,Completed,3,939.92,20230520.0
1227,Communication Skills,2023-05-15,External,Failed,3,669.19,20230515.0
1228,Technical Skills,2022-10-05,Internal,Failed,5,525.69,20221005.0
1229,Customer Service,2023-01-11,External,Failed,1,173.66,20230111.0
1230,Communication Skills,2023-04-30,External,Completed,1,635.71,20230430.0
1231,Project Management,2022-08-06,External,Passed,1,896.8,20220806.0
1232,Leadership Development,2022-11-30,Internal,Incomplete,4,857.61,20221130.0
1233,Customer Service,2022-11-29,Internal,Failed,3,460.59,20221129.0
1234,Leadership Development,2023-02-19,Internal,Passed,1,504.82,20230219.0
1235,Project Management,2023-04-10,Internal,Failed,3,737.91,20230410.0
1236,Customer Service,2023-04-17,External,Passed,2,244.25,20230417.0
1237,Leadership Development,2022-11-11,External,Passed,2,762.82,20221111.0
1238,Leadership Development,2022-11-14,Internal,Incomplete,2,640.14,20221114.0
1239,Project Management,2023-04-28,Internal,Incomplete,3,726.03,20230428.0
1240,Communication Skills,2023-01-04,External,Passed,5,758.75,20230104.0
1241,Project Management,2023-02-01,External,Failed,5,878.94,20230201.0
1242,Project Management,2023-03-14,External,Passed,3,227.9,20230314.0
1243,Communication Skills,2023-02-05,Internal,Incomplete,3,855.27,20230205.0
1244,Technical Skills,2023-02-18,External,Incomplete,5,170.62,20230218.0
1245,Communication Skills,2023-06-29,Internal,Incomplete,4,392.14,20230629.0
1246,Communication Skills,2022-12-25,Internal,Completed,1,206.93,20221225.0
1247,Customer Service,2022-12-09,External,Completed,5,307.13,20221209.0
1248,Communication Skills,2022-08-24,Internal,Passed,4,165.05,20220824.0
1249,Communication Skills,2022-08-15,Internal,Completed,4,371.27,20220815.0
1250,Communication Skills,2023-04-28,External,Incomplete,3,366.78,20230428.0
1251,Communication Skills,2023-02-04,External,Failed,5,205.92,20230204.0
1252,Leadership Development,2022-11-20,Internal,Completed,1,314.51,20221120.0
1253,Customer Service,2023-06-03,Internal,Completed,2,793.86,20230603.0
1254,Project Management,2023-04-20,Internal,Passed,3,252.53,20230420.0
1255,Customer Service,2022-10-23,External,Passed,2,693.25,20221023.0
1256,Project Management,2023-05-26,Internal,Completed,4,926.76,20230526.0
1257,Technical Skills,2023-05-23,Internal,Failed,1,694.61,20230523.0
1258,Project Management,2023-06-30,Internal,Incomplete,1,732.02,20230630.0
1259,Leadership Development,2023-01-04,Internal,Completed,1,897.62,20230104.0
1260,Leadership Development,2022-11-21,Internal,Completed,2,786.57,20221121.0
1261,Project Management,2023-07-26,External,Incomplete,3,613.93,20230726.0
1262,Communication Skills,2023-01-17,Internal,Passed,2,711.8,20230117.0
1263,Communication Skills,2023-03-03,Internal,Failed,5,784.1,20230303.0
1264,Customer Service,2023-05-16,Internal,Failed,5,509.67,20230516.0
1265,Leadership Development,2023-06-15,Internal,Incomplete,4,494.96,20230615.0
1266,Project Management,2023-03-30,Internal,Incomplete,5,465.72,20230330.0
1267,Technical Skills,2023-02-27,Internal,Failed,1,507.43,20230227.0
1268,Project Management,2023-05-25,External,Passed,5,401.97,20230525.0
1269,Customer Service,2022-12-23,External,Passed,4,813.9,20221223.0
1270,Leadership Development,2022-08-21,External,Completed,2,360.02,20220821.0
1271,Customer Service,2023-02-15,Internal,Completed,3,692.71,20230215.0
1272,Technical Skills,2023-02-24,Internal,Failed,3,233.12,20230224.0
1273,Technical Skills,2023-05-24,External,Incomplete,1,881.48,20230524.0
1274,Project Management,2023-05-22,Internal,Passed,2,448.48,20230522.0
1275,Communication Skills,2023-06-13,External,Incomplete,3,288.88,20230613.0
1276,Communication Skills,2023-07-15,Internal,Failed,1,572.45,20230715.0
1277,Communication Skills,2023-03-27,Internal,Passed,3,141.38,20230327.0
1278,Technical Skills,2023-02-04,Internal,Incomplete,1,331.46,20230204.0
1279,Technical Skills,2022-11-23,Internal,Incomplete,4,704.93,20221123.0
1280,Leadership Development,2023-06-08,External,Completed,4,450.65,20230608.0
1281,Project Management,2023-01-31,External,Completed,3,775.97,20230131.0
1282,Leadership Development,2023-02-20,External,Passed,4,376.0,20230220.0
1283,Customer Service,2023-01-17,External,Failed,2,106.54,20230117.0
1284,Communication Skills,2022-11-10,External,Completed,1,852.87,20221110.0
1285,Project Management,2022-11-08,External,Completed,4,469.03,20221108.0
1286,Customer Service,2023-05-28,Internal,Incomplete,2,274.85,20230528.0
1287,Technical Skills,2023-03-31,External,Completed,1,342.57,20230331.0
1288,Technical Skills,2023-05-13,External,Incomplete,5,948.31,20230513.0
1289,Leadership Development,2022-10-08,Internal,Incomplete,3,900.52,20221008.0
1290,Leadership Development,2023-05-14,External,Completed,4,140.72,20230514.0
1291,Technical Skills,2022-09-12,Internal,Passed,3,913.62,20220912.0
1292,Customer Service,2023-02-22,Internal,Completed,5,950.3,20230222.0
1293,Project Management,2023-03-12,Internal,Passed,2,668.77,20230312.0
1294,Technical Skills,2022-08-15,Internal,Passed,3,906.05,20220815.0
1295,Communication Skills,2023-01-03,Internal,Incomplete,5,689.77,20230103.0
1296,Communication Skills,2023-03-05,External,Passed,2,694.27,20230305.0
1297,Project Management,2023-06-14,External,Passed,3,352.75,20230614.0
1298,Project Management,2023-05-16,Internal,Passed,3,411.17,20230516.0
1299,Project Management,2023-01-21,External,Completed,3,358.81,20230121.0
1300,Technical Skills,2023-04-29,Internal,Passed,4,588.64,20230429.0
1301,Communication Skills,2022-09-22,Internal,Incomplete,1,472.18,20220922.0
1302,Project Management,2022-08-20,Internal,Passed,2,758.79,20220820.0
1303,Leadership Development,2023-06-02,Internal,Failed,3,921.81,20230602.0
1304,Communication Skills,2023-01-16,External,Completed,3,405.08,20230116.0
1305,Technical Skills,2023-07-08,Internal,Failed,3,784.22,20230708.0
1306,Technical Skills,2023-07-13,External,Failed,4,443.99,20230713.0
1307,Technical Skills,2022-11-16,Internal,Incomplete,3,609.9,20221116.0
1308,Leadership Development,2022-10-10,External,Failed,5,742.16,20221010.0
1309,Technical Skills,2022-09-09,External,Failed,3,517.74,20220909.0
1310,Project Management,2022-10-16,Internal,Incomplete,4,350.59,20221016.0
1311,Leadership Development,2022-10-17,Internal,Incomplete,1,546.94,20221017.0
1312,Communication Skills,2023-04-29,Internal,Completed,4,514.37,20230429.0
1313,Leadership Development,2022-10-25,Internal,Incomplete,5,786.98,20221025.0
1314,Project Management,2023-03-18,Internal,Passed,4,852.21,20230318.0
1315,Communication Skills,2023-07-29,External,Failed,4,761.63,20230729.0
1316,Technical Skills,2023-04-20,External,Passed,5,202.62,20230420.0
1317,Communication Skills,2022-08-20,External,Passed,5,414.75,20220820.0
1318,Communication Skills,2022-10-17,External,Completed,4,344.55,20221017.0
1319,Project Management,2023-05-19,Internal,Failed,1,777.46,20230519.0
1320,Leadership Development,2022-08-25,External,Completed,3,948.71,20220825.0
1321,Customer Service,2023-01-19,Internal,Passed,5,308.77,20230119.0
1322,Customer Service,2023-02-24,External,Incomplete,1,891.25,20230224.0
1323,Customer Service,2023-03-30,Internal,Passed,2,659.9,20230330.0
1324,Project Management,2022-09-30,Internal,Failed,2,858.72,20220930.0
1325,Project Management,2023-03-28,External,Failed,5,380.24,20230328.0
1326,Leadership Development,2023-05-01,External,Passed,5,505.4,20230501.0
1327,Leadership Development,2023-07-02,Internal,Passed,3,609.01,20230702.0
1328,Customer Service,2023-03-24,Internal,Failed,3,656.38,20230324.0
1329,Project Management,2023-06-11,External,Passed,5,692.63,20230611.0
1330,Project Management,2022-11-20,Internal,Incomplete,3,633.72,20221120.0
1331,Communication Skills,2022-09-14,Internal,Failed,2,517.62,20220914.0
1332,Leadership Development,2022-08-13,External,Incomplete,4,231.76,20220813.0
1333,Customer Service,2023-03-01,Internal,Passed,2,605.12,20230301.0
1334,Project Management,2023-04-01,Internal,Failed,1,297.12,20230401.0
1335,Leadership Development,2023-02-20,Internal,Incomplete,2,384.43,20230220.0
1336,Leadership Development,2022-12-19,Internal,Passed,4,969.95,20221219.0
1337,Project Management,2023-01-17,External,Failed,5,719.7,20230117.0
1338,Leadership Development,2022-10-30,External,Incomplete,1,355.83,20221030.0
1339,Customer Service,2022-11-24,Internal,Incomplete,3,754.47,20221124.0
1340,Leadership Development,2023-02-06,External,Incomplete,2,890.39,20230206.0
1341,Project Management,2023-02-14,Internal,Passed,3,268.78,20230214.0
1342,Project Management,2023-01-28,Internal,Failed,4,930.72,20230128.0
1343,Customer Service,2022-09-02,External,Completed,5,924.85,20220902.0
1344,Technical Skills,2022-11-01,Internal,Incomplete,5,284.38,20221101.0
1345,Communication Skills,2022-11-30,External,Passed,1,395.1,20221130.0
1346,Technical Skills,2023-07-02,External,Failed,2,501.64,20230702.0
1347,Communication Skills,2022-10-22,Internal,Failed,5,792.72,20221022.0
1349,Technical Skills,2022-11-26,Internal,Incomplete,3,870.01,20221126.0
1350,Leadership Development,2023-01-29,Internal,Incomplete,2,610.06,20230129.0
1351,Project Management,2022-12-20,Internal,Passed,2,278.16,20221220.0
1352,Communication Skills,2022-11-01,External,Completed,4,218.93,20221101.0
1353,Communication Skills,2022-12-16,Internal,Incomplete,5,179.21,20221216.0
1355,Project Management,2023-03-13,Internal,Completed,5,534.28,20230313.0
1356,Technical Skills,2023-04-06,Internal,Incomplete,3,301.39,20230406.0
1357,Project Management,2023-05-26,External,Incomplete,3,231.65,20230526.0
1358,Communication Skills,2022-08-10,Internal,Completed,2,994.81,20220810.0
1359,Customer Service,2023-02-14,External,Incomplete,4,729.91,20230214.0
1360,Leadership Development,2022-09-20,Internal,Passed,2,538.02,20220920.0
1362,Customer Service,2022-08-29,Internal,Passed,4,196.94,20220829.0
1363,Project Management,2022-12-15,Internal,Completed,2,285.83,20221215.0
1364,Project Management,2022-12-28,External,Incomplete,4,818.6,20221228.0
1365,Leadership Development,2023-04-10,External,Incomplete,1,610.97,20230410.0
1366,Technical Skills,2022-11-18,Internal,Completed,1,762.83,20221118.0
1367,Project Management,2022-09-20,External,Incomplete,5,438.44,20220920.0
1368,Project Management,2022-10-19,Internal,Incomplete,4,271.9,20221019.0
1369,Communication Skills,2023-01-31,External,Incomplete,2,629.2,20230131.0
1370,Leadership Development,2022-09-06,Internal,Incomplete,1,850.28,20220906.0
1371,Leadership Development,2022-10-01,External,Passed,1,321.25,20221001.0
1372,Customer Service,2023-06-03,Internal,Passed,1,475.32,20230603.0
1373,Leadership Development,2022-09-08,External,Failed,4,847.2,20220908.0
1374,Customer Service,2022-10-08,Internal,Completed,1,983.35,20221008.0
1375,Technical Skills,2023-06-25,External,Passed,3,880.9,20230625.0
1376,Customer Service,2023-08-02,External,Completed,3,795.72,20230802.0
1377,Communication Skills,2023-06-20,Internal,Completed,2,909.56,20230620.0
1378,Communication Skills,2023-01-28,External,Failed,5,145.7,20230128.0
1379,Communication Skills,2023-03-06,Internal,Passed,1,397.48,20230306.0
1380,Communication Skills,2023-05-26,External,Failed,3,326.7,20230526.0
1381,Leadership Development,2022-09-20,Internal,Failed,4,718.16,20220920.0
1382,Communication Skills,2023-02-21,Internal,Passed,5,162.46,20230221.0
1383,Customer Service,2023-01-15,Internal,Completed,3,924.64,20230115.0
1384,Leadership Development,2022-10-04,Internal,Passed,4,628.48,20221004.0
1385,Communication Skills,2023-06-27,Internal,Passed,1,678.07,20230627.0
1386,Technical Skills,2023-06-29,External,Passed,1,106.91,20230629.0
1387,Communication Skills,2022-12-20,External,Incomplete,1,195.95,20221220.0
1388,Communication Skills,2023-04-18,External,Completed,1,918.34,20230418.0
1389,Communication Skills,2023-01-16,External,Incomplete,3,425.34,20230116.0
1390,Communication Skills,2023-03-03,External,Completed,3,512.53,20230303.0
1391,Leadership Development,2023-02-05,External,Completed,3,146.48,20230205.0
1392,Leadership Development,2023-04-20,External,Completed,3,578.62,20230420.0
1393,Technical Skills,2023-04-02,External,Failed,3,255.61,20230402.0
1394,Leadership Development,2023-02-13,Internal,Passed,5,370.26,20230213.0
1395,Communication Skills,2022-12-28,Internal,Failed,2,302.97,20221228.0
1396,Communication Skills,2022-09-13,Internal,Completed,3,632.28,20220913.0
1397,Customer Service,2023-03-01,Internal,Incomplete,2,669.41,20230301.0
1398,Communication Skills,2023-01-04,External,Passed,3,191.99,20230104.0
1399,Customer Service,2023-05-02,Internal,Incomplete,2,695.11,20230502.0
1400,Communication Skills,2022-08-06,Internal,Failed,2,634.92,20220806.0
1401,Communication Skills,2023-07-03,Internal,Incomplete,5,873.98,20230703.0
1402,Communication Skills,2022-10-14,External,Passed,3,602.33,20221014.0
1403,Technical Skills,2023-06-08,Internal,Failed,3,807.02,20230608.0
1404,Project Management,2022-10-02,Internal,Completed,4,411.94,20221002.0
1405,Customer Service,2022-09-15,External,Completed,4,537.73,20220915.0
1406,Technical Skills,2023-05-03,Internal,Incomplete,5,930.1,20230503.0
1407,Communication Skills,2022-11-23,External,Completed,3,249.66,20221123.0
1408,Communication Skills,2022-12-24,Internal,Passed,5,691.82,20221224.0
1409,Customer Service,2022-08-23,Internal,Passed,4,938.59,20220823.0
1410,Project Management,2022-11-25,External,Completed,1,746.8,20221125.0
1411,Technical Skills,2022-12-14,External,Incomplete,1,690.75,20221214.0
1412,Project Management,2022-08-24,External,Incomplete,4,544.19,20220824.0
1413,Technical Skills,2023-02-17,Internal,Completed,5,918.34,20230217.0
1414,Customer Service,2023-01-21,Internal,Failed,3,997.2,20230121.0
1415,Customer Service,2022-12-28,Internal,Incomplete,3,633.96,20221228.0
1416,Customer Service,2022-10-27,External,Passed,2,638.69,20221027.0
1417,Project Management,2023-01-05,Internal,Passed,1,643.82,20230105.0
1418,Project Management,2023-06-24,External,Failed,1,840.76,20230624.0
1419,Leadership Development,2023-04-13,Internal,Passed,1,108.04,20230413.0
1420,Communication Skills,2023-02-16,Internal,Completed,5,889.57,20230216.0
1421,Customer Service,2022-12-08,Internal,Completed,5,835.97,20221208.0
1423,Communication Skills,2023-03-15,Internal,Passed,3,255.55,20230315.0
1425,Technical Skills,2023-03-13,Internal,Failed,1,850.15,20230313.0
1426,Project Management,2022-12-02,External,Completed,3,938.04,20221202.0
1427,Project Management,2023-04-25,External,Passed,1,684.24,20230425.0
1428,Technical Skills,2022-08-30,Internal,Failed,5,956.11,20220830.0
1429,Communication Skills,2022-11-26,External,Failed,4,441.43,20221126.0
1430,Leadership Development,2022-08-26,External,Passed,4,193.99,20220826.0
1431,Technical Skills,2022-10-15,External,Failed,3,790.72,20221015.0
1432,Communication Skills,2022-08-06,Internal,Completed,4,894.75,20220806.0
1433,Customer Service,2022-09-18,Internal,Passed,4,863.73,20220918.0
1434,Project Management,2023-04-27,External,Incomplete,2,746.99,20230427.0
1435,Leadership Development,2022-09-21,Internal,Passed,4,360.38,20220921.0
1436,Technical Skills,2022-08-26,Internal,Incomplete,1,298.3,20220826.0
1437,Leadership Development,2022-12-28,External,Passed,3,537.12,20221228.0
1438,Customer Service,2023-05-12,External,Passed,2,996.18,20230512.0
1439,Communication Skills,2023-06-20,Internal,Completed,4,764.43,20230620.0
1440,Communication Skills,2022-11-13,External,Failed,5,490.33,20221113.0
1441,Customer Service,2022-10-23,Internal,Incomplete,4,758.41,20221023.0
1442,Technical Skills,2023-02-21,External,Incomplete,3,367.56,20230221.0
1443,Leadership Development,2023-05-03,Internal,Failed,5,582.49,20230503.0
1444,Leadership Development,2023-01-30,External,Incomplete,2,561.14,20230130.0
1448,Leadership Development,2022-08-06,Internal,Failed,5,151.43,20220806.0
1449,Customer Service,2022-10-09,Internal,Passed,5,675.71,20221009.0
1450,Project Management,2023-06-23,Internal,Incomplete,5,436.63,20230623.0
1451,Communication Skills,2022-10-25,External,Completed,2,387.11,20221025.0
1452,Technical Skills,2022-09-04,Internal,Passed,4,320.38,20220904.0
1453,Technical Skills,2023-04-05,Internal,Passed,2,294.55,20230405.0
1454,Customer Service,2022-12-14,External,Completed,1,832.86,20221214.0
1455,Leadership Development,2023-05-15,Internal,Passed,5,223.34,20230515.0
1456,Customer Service,2022-09-30,External,Incomplete,3,456.95,20220930.0
1457,Project Management,2023-05-11,External,Passed,5,988.47,20230511.0
1458,Technical Skills,2023-05-22,External,Incomplete,1,429.49,20230522.0
1459,Project Management,2022-10-18,Internal,Failed,3,798.97,20221018.0
1460,Customer Service,2023-03-06,Internal,Incomplete,2,864.22,20230306.0
1461,Communication Skills,2023-06-01,Internal,Passed,1,302.52,20230601.0
1462,Leadership Development,2023-02-02,External,Completed,4,152.66,20230202.0
1463,Customer Service,2023-04-14,Internal,Completed,2,399.05,20230414.0
1464,Customer Service,2023-06-25,Internal,Completed,2,791.74,20230625.0
1465,Leadership Development,2022-12-06,External,Incomplete,4,770.23,20221206.0
1466,Project Management,2022-12-16,External,Completed,3,746.05,20221216.0
1467,Technical Skills,2023-01-13,External,Completed,2,177.66,20230113.0
1468,Leadership Development,2023-04-10,Internal,Passed,5,429.38,20230410.0
1469,Leadership Development,2022-08-25,External,Incomplete,3,867.59,20220825.0
1470,Communication Skills,2023-04-17,External,Failed,5,502.65,20230417.0
1471,Technical Skills,2023-03-06,Internal,Completed,3,488.68,20230306.0
1472,Project Management,2023-04-11,Internal,Passed,3,416.76,20230411.0
1473,Leadership Development,2023-02-11,External,Passed,4,336.08,20230211.0
1474,Project Management,2023-02-19,External,Failed,1,798.37,20230219.0
1475,Technical Skills,2022-11-04,Internal,Passed,3,499.48,20221104.0
1476,Technical Skills,2023-03-08,External,Completed,2,615.32,20230308.0
1477,Technical Skills,2023-03-12,External,Failed,5,410.36,20230312.0
1478,Leadership Development,2023-08-03,External,Failed,5,453.86,20230803.0
1479,Project Management,2023-01-23,Internal,Failed,1,975.27,20230123.0
1480,Leadership Development,2023-04-18,External,Failed,2,946.81,20230418.0
1481,Communication Skills,2023-05-16,Internal,Completed,5,142.57,20230516.0
1482,Customer Service,2022-10-13,Internal,Completed,5,186.57,20221013.0
1483,Communication Skills,2022-08-22,External,Incomplete,4,168.71,20220822.0
1484,Communication Skills,2023-07-29,External,Incomplete,1,473.77,20230729.0
1485,Leadership Development,2023-07-02,External,Completed,5,654.35,20230702.0
1486,Customer Service,2023-05-30,Internal,Incomplete,2,176.63,20230530.0
1487,Customer Service,2022-08-08,External,Failed,3,385.82,20220808.0
1489,Leadership Development,2022-10-01,External,Completed,5,112.64,20221001.0
1490,Communication Skills,2023-07-23,External,Incomplete,4,849.95,20230723.0
1491,Technical Skills,2022-08-10,External,Failed,5,187.65,20220810.0
1492,Customer Service,2022-12-25,Internal,Failed,1,285.56,20221225.0
1493,Communication Skills,2022-10-09,Internal,Incomplete,3,793.43,20221009.0
1494,Customer Service,2023-02-01,External,Passed,5,978.89,20230201.0
1495,Customer Service,2023-02-25,Internal,Completed,4,993.66,20230225.0
1496,Customer Service,2022-09-07,External,Completed,3,768.55,20220907.0
1497,Technical Skills,2022-08-23,External,Completed,3,140.78,20220823.0
1498,Project Management,2023-08-05,Internal,Passed,3,598.07,20230805.0
1499,Customer Service,2023-01-18,External,Incomplete,5,543.52,20230118.0
1500,Technical Skills,2023-01-12,Internal,Passed,2,916.73,20230112.0
1501,Customer Service,2023-07-29,Internal,Completed,2,491.99,20230729.0
1502,Technical Skills,2023-03-08,Internal,Failed,4,245.0,20230308.0
1503,Communication Skills,2022-12-09,External,Failed,3,574.9,20221209.0
1504,Technical Skills,2023-06-20,Internal,Failed,4,684.08,20230620.0
1505,Leadership Development,2023-05-08,Internal,Passed,2,204.1,20230508.0
1506,Leadership Development,2022-11-01,External,Failed,1,789.33,20221101.0
1507,Technical Skills,2022-09-21,Internal,Completed,3,812.13,20220921.0
1508,Customer Service,2023-05-12,Internal,Passed,2,675.02,20230512.0
1509,Project Management,2023-06-29,Internal,Incomplete,4,343.07,20230629.0
1510,Technical Skills,2022-10-13,External,Incomplete,5,986.78,20221013.0
